course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,students_enrolled_numeric,combined_features,difficulty_encoded,certificate_encoded,popularity_score,cluster
developing your musicianship,berklee college of music,course,4.8,mixed,41k,41000.0,developing your musicianship berklee college of music course mixed,3,0,0.4562773470252721,7
devenir entrepreneur du changement,ticket for change,course,4.7,mixed,54k,54000.0,devenir entrepreneur du changement ticket for change course mixed,3,0,0.472281793178984,7
digital advertising strategy,university of colorado boulder,specialization,4.4,beginner,9k,9000.0,digital advertising strategy university of colorado boulder specialization beginner,1,2,0.1861981452981931,3
digital business models,lund university,course,4.5,beginner,21k,21000.0,digital business models lund university course beginner,1,0,0.3134661392777831,6
digital manufacturing design technology,university at buffalo,specialization,4.6,beginner,37k,37000.0,digital manufacturing design technology university at buffalo specialization beginner,1,2,0.4048905795269517,3
digital marketing,university of illinois at urbana champaign,specialization,4.6,beginner,380k,380000.0,digital marketing university of illinois at urbana champaign specialization beginner,1,2,0.7021489806273631,1
digital media and marketing strategies,university of illinois at urbana champaign,course,4.4,mixed,57k,57000.0,digital media and marketing strategies university of illinois at urbana champaign course mixed,3,0,0.421752353073102,1
digital product management,university of virginia,specialization,4.7,beginner,140k,140000.0,digital product management university of virginia specialization beginner,1,2,0.5938595044639361,3
digital product management modern fundamentals,university of virginia,course,4.7,beginner,58k,58000.0,digital product management modern fundamentals university of virginia course beginner,1,0,0.4814012907662617,3
dino 101 dinosaur paleobiology,university of alberta,course,4.5,beginner,35k,35000.0,dino 101 dinosaur paleobiology university of alberta course beginner,1,0,0.3786557577733429,3
discrete optimization,the university of melbourne,course,4.9,intermediate,40k,40000.0,discrete optimization the university of melbourne course intermediate,2,0,0.4722692721463404,2
dise o instruccional aprendizaje activo y pedagog a digital,tecnol gico de monterrey,specialization,4.6,beginner,4k,4000.0,dise o instruccional aprendizaje activo y pedagog a digital tecnol gico de monterrey specialization beginner,1,2,0.1210104697642386,3
dise o y creaci n de un emprendimiento social,pontificia universidad cat lica de chile,course,4.9,beginner,21k,21000.0,dise o y creaci n de un emprendimiento social pontificia universidad cat lica de chile course beginner,1,0,0.3900387067979851,3
divide and conquer sorting and searching and randomized algorithms,stanford university,course,4.8,intermediate,130k,130000.0,divide and conquer sorting and searching and randomized algorithms stanford university course intermediate,2,0,0.603544986962322,2
dog emotion and cognition,duke university,course,4.6,mixed,150k,150000.0,dog emotion and cognition duke university course mixed,3,0,0.5835212373296716,7
driving business towards the sustainable development goals,erasmus university rotterdam,course,4.8,beginner,5.6k,5600.0,driving business towards the sustainable development goals erasmus university rotterdam course beginner,1,0,0.2022285447910365,3
drug commercialization,university of california san diego,course,4.7,beginner,17k,17000.0,drug commercialization university of california san diego course beginner,1,0,0.3247863864842419,9
drug discovery,university of california san diego,course,4.6,beginner,39k,39000.0,drug discovery university of california san diego course beginner,1,0,0.4116088457101816,9
dynamic public speaking,university of washington,specialization,4.7,beginner,110k,110000.0,dynamic public speaking university of washington specialization beginner,1,2,0.5630824232759473,3
emt foundations,university of colorado system,course,4.8,beginner,7.1k,7100.0,emt foundations university of colorado system course beginner,1,0,0.2325117785036385,3
ecology ecosystem dynamics and conservation,american museum of natural history,course,4.8,intermediate,18k,18000.0,ecology ecosystem dynamics and conservation american museum of natural history course intermediate,2,0,0.35122372216474,2
econometrics methods and applications,erasmus university rotterdam,course,4.7,mixed,110k,110000.0,econometrics methods and applications erasmus university rotterdam course mixed,3,0,0.5630824232759473,7
economics of money and banking,columbia university,course,4.9,mixed,83k,83000.0,economics of money and banking columbia university course mixed,3,0,0.5654259521342193,7
ecosystem services a method for sustainable development,university of geneva,course,4.7,intermediate,16k,16000.0,ecosystem services a method for sustainable development university of geneva course intermediate,2,0,0.3170498840713929,2
effective compliance programs,university of pennsylvania,course,4.9,mixed,3.4k,3400.0,effective compliance programs university of pennsylvania course mixed,3,0,0.1577047047050732,7
egiptolog a egyptology,universitat aut noma de barcelona,course,4.9,beginner,46k,46000.0,egiptolog a egyptology universitat aut noma de barcelona course beginner,1,0,0.4901054072829343,3
el abogado del futuro legaltech y la transformaci n digital del derecho,universidad austral,course,5.0,beginner,1.5k,1500.0,el abogado del futuro legaltech y la transformaci n digital del derecho universidad austral course beginner,1,0,0.0724618313150471,3
elastic google cloud infrastructure scaling and automation,google cloud,course,4.7,intermediate,57k,57000.0,elastic google cloud infrastructure scaling and automation google cloud course intermediate,2,0,0.4791817787132535,8
electric industry operations and markets,duke university,course,4.8,beginner,12k,12000.0,electric industry operations and markets duke university course beginner,1,0,0.2994814263320182,3
electronic music production,berklee college of music,specialization,4.8,intermediate,110k,110000.0,electronic music production berklee college of music specialization intermediate,2,2,0.5822255651559973,6
emerging technologies from smartphones to iot to big data,yonsei university,specialization,4.6,beginner,17k,17000.0,emerging technologies from smartphones to iot to big data yonsei university specialization beginner,1,2,0.3056432446041914,3
energy production distribution safety,university at buffalo,specialization,4.7,beginner,37k,37000.0,energy production distribution safety university at buffalo specialization beginner,1,2,0.4240337214070027,3
engineering health introduction to yoga and physiology,new york university,course,4.8,beginner,14k,14000.0,engineering health introduction to yoga and physiology new york university course beginner,1,0,0.3191527627181956,3
engineering project management initiating and planning,rice university,course,4.7,beginner,23k,23000.0,engineering project management initiating and planning rice university course beginner,1,0,0.3633617989926501,3
english composition i,duke university,course,4.6,beginner,200k,200000.0,english composition i duke university course beginner,1,0,0.6202352828246118,3
english for business and entrepreneurship,university of pennsylvania,course,4.8,beginner,230k,230000.0,english for business and entrepreneurship university of pennsylvania course beginner,1,0,0.6763580346361775,6
english for career development,university of pennsylvania,course,4.8,mixed,760k,760000.0,english for career development university of pennsylvania course mixed,3,0,0.8288951952736041,7
english for journalism,university of pennsylvania,course,4.8,mixed,130k,130000.0,english for journalism university of pennsylvania course mixed,3,0,0.603544986962322,7
english for research publication purposes,moscow institute of physics and technology,specialization,4.6,intermediate,42k,42000.0,english for research publication purposes moscow institute of physics and technology specialization intermediate,2,2,0.4210663414805085,2
english for science technology engineering and mathematics,university of pennsylvania,course,4.8,beginner,110k,110000.0,english for science technology engineering and mathematics university of pennsylvania course beginner,1,0,0.5822255651559973,7
enterprise architecture,peter the great st petersburg polytechnic university,course,4.4,beginner,2.4k,2400.0,enterprise architecture peter the great st petersburg polytechnic university course beginner,1,0,0.0175533997960239,3
entrepreneurial finance strategy and innovation,duke university,specialization,4.5,intermediate,7.9k,7900.0,entrepreneurial finance strategy and innovation duke university specialization intermediate,2,2,0.1887063628879794,2
entrepreneurship,university of pennsylvania,specialization,4.8,beginner,110k,110000.0,entrepreneurship university of pennsylvania specialization beginner,1,2,0.5822255651559973,7
entrepreneurship 1 developing the opportunity,university of pennsylvania,course,4.8,mixed,86k,86000.0,entrepreneurship 1 developing the opportunity university of pennsylvania course mixed,3,0,0.5508141537830089,7
entrepreneurship 2 launching your start up,university of pennsylvania,course,4.8,mixed,38k,38000.0,entrepreneurship 2 launching your start up university of pennsylvania course mixed,3,0,0.4465801994379048,7
entrepreneurship 3 growth strategies,university of pennsylvania,course,4.7,beginner,31k,31000.0,entrepreneurship 3 growth strategies university of pennsylvania course beginner,1,0,0.4014543246489856,7
entrepreneurship strategy from ideation to exit,hec paris,course,4.8,beginner,20k,20000.0,entrepreneurship strategy from ideation to exit hec paris course beginner,1,0,0.3646692218621901,3
entrepreneurship launching an innovative business,university of maryland college park,specialization,4.6,beginner,69k,69000.0,entrepreneurship launching an innovative business university of maryland college park specialization beginner,1,2,0.4844208974829036,6
epidemics the dynamics of infectious diseases,the pennsylvania state university,course,4.8,mixed,45k,45000.0,epidemics the dynamics of infectious diseases the pennsylvania state university course mixed,3,0,0.468157358189587,7
epidemics pandemics and outbreaks,university of pittsburgh,course,4.7,mixed,23k,23000.0,epidemics pandemics and outbreaks university of pittsburgh course mixed,3,0,0.3633617989926501,7
epidemiology for public health,imperial college london,specialization,4.7,beginner,6.4k,6400.0,epidemiology for public health imperial college london specialization beginner,1,2,0.2001239573356583,3
epidemiology in public health practice,johns hopkins university,specialization,4.7,beginner,31k,31000.0,epidemiology in public health practice johns hopkins university specialization beginner,1,2,0.4014543246489856,4
epidemiology the basic science of public health,the university of north carolina at chapel hill,course,4.6,mixed,130k,130000.0,epidemiology the basic science of public health the university of north carolina at chapel hill course mixed,3,0,0.5652587032022209,7
epigenetic control of gene expression,the university of melbourne,course,4.8,mixed,35k,35000.0,epigenetic control of gene expression the university of melbourne course mixed,3,0,0.436085183413494,7
equine welfare and management,university of california davis,course,4.8,beginner,7.2k,7200.0,equine welfare and management university of california davis course beginner,1,0,0.2342964663187547,9
esports,university of california irvine,specialization,4.5,beginner,1.8k,1800.0,esports university of california irvine specialization beginner,1,2,0.0,9
essential epidemiologic tools for public health practice,johns hopkins university,course,4.7,beginner,14k,14000.0,essential epidemiologic tools for public health practice johns hopkins university course beginner,1,0,0.3000096208381451,4
essential google cloud infrastructure core services,google cloud,course,4.7,intermediate,68k,68000.0,essential google cloud infrastructure core services google cloud course intermediate,2,0,0.5017009539715969,8
essential google cloud infrastructure foundation,google cloud,course,4.7,intermediate,83k,83000.0,essential google cloud infrastructure foundation google cloud course intermediate,2,0,0.5271396683741183,8
essentials in clinical simulations across the health professions,the george washington university,course,4.8,intermediate,4.1k,4100.0,essentials in clinical simulations across the health professions the george washington university course intermediate,2,0,0.1624472701146753,2
essentials of corporate finance,the university of melbourne,specialization,4.6,intermediate,54k,54000.0,essentials of corporate finance the university of melbourne specialization intermediate,2,2,0.4531386512989335,2
essentials of global health,yale university,course,4.8,mixed,31k,31000.0,essentials of global health yale university course mixed,3,0,0.4205974665290362,7
estad stica y probabilidad,universidad nacional aut noma de m xico,course,4.7,beginner,27k,27000.0,estad stica y probabilidad universidad nacional aut noma de m xico course beginner,1,0,0.3838240576560796,3
evaluaci n educativa,universidad nacional aut noma de m xico,specialization,4.8,beginner,13k,13000.0,evaluaci n educativa universidad nacional aut noma de m xico specialization beginner,1,2,0.3096957343776312,3
everyday excel part 1,university of colorado boulder,course,4.8,beginner,11k,11000.0,everyday excel part 1 university of colorado boulder course beginner,1,0,0.2883779188405353,3
everyday parenting the abcs of child rearing,yale university,course,4.9,beginner,86k,86000.0,everyday parenting the abcs of child rearing yale university course beginner,1,0,0.5699572956630594,3
excel skills for business,macquarie university,specialization,4.9,beginner,240k,240000.0,excel skills for business macquarie university specialization beginner,1,2,0.7009326516444516,6
excel skills for business advanced,macquarie university,course,4.7,intermediate,39k,39000.0,excel skills for business advanced macquarie university course intermediate,2,0,0.4307519875902326,6
excel skills for business essentials,macquarie university,course,4.9,beginner,200k,200000.0,excel skills for business essentials macquarie university course beginner,1,0,0.6776647084647633,6
excel skills for business intermediate i,macquarie university,course,4.9,intermediate,76k,76000.0,excel skills for business intermediate i macquarie university course intermediate,2,0,0.5541817609362316,2
excel skills for business intermediate ii,macquarie university,course,4.8,intermediate,39k,39000.0,excel skills for business intermediate ii macquarie university course intermediate,2,0,0.4498951294702826,2
excel to mysql analytic techniques for business,duke university,specialization,4.6,beginner,490k,490000.0,excel to mysql analytic techniques for business duke university specialization beginner,1,2,0.7345945064461343,6
excel vba for creative problem solving,university of colorado boulder,specialization,4.8,beginner,56k,56000.0,excel vba for creative problem solving university of colorado boulder specialization beginner,1,2,0.496066123803224,3
excel vba for creative problem solving part 1,university of colorado boulder,course,4.8,beginner,54k,54000.0,excel vba for creative problem solving part 1 university of colorado boulder course beginner,1,0,0.4914249350590345,3
executive data science,johns hopkins university,specialization,4.5,beginner,170k,170000.0,executive data science johns hopkins university specialization beginner,1,2,0.5803514340468672,4
explorando la energ a sustentable,pontificia universidad cat lica de chile,course,4.8,beginner,28k,28000.0,explorando la energ a sustentable pontificia universidad cat lica de chile course beginner,1,0,0.4076083038795377,3
fashion as design,the museum of modern art,course,4.8,beginner,180k,180000.0,fashion as design the museum of modern art course beginner,1,0,0.645075428819577,3
feminism and social justice,university of california santa cruz,course,4.8,beginner,18k,18000.0,feminism and social justice university of california santa cruz course beginner,1,0,0.35122372216474,9
fintech law and policy,duke university,course,4.8,beginner,9.7k,9700.0,fintech law and policy duke university course beginner,1,0,0.2723286654171573,3
fintech finance industry transformation and regulation,the hong kong university of science and technology,specialization,4.6,beginner,13k,13000.0,fintech finance industry transformation and regulation the hong kong university of science and technology specialization beginner,1,2,0.2714094506175302,3
fintech foundations payments and regulations,university of pennsylvania,course,4.7,beginner,12k,12000.0,fintech foundations payments and regulations university of pennsylvania course beginner,1,0,0.2803382844519682,7
finance quantitative modeling for analysts,university of pennsylvania,specialization,4.5,beginner,260k,260000.0,finance quantitative modeling for analysts university of pennsylvania specialization beginner,1,2,0.6345751692833166,7
finance for non finance professionals,rice university,course,4.8,beginner,69k,69000.0,finance for non finance professionals rice university course beginner,1,0,0.5227071812430046,3
finance for non financial managers,emory university,course,4.4,intermediate,12k,12000.0,finance for non financial managers emory university course intermediate,2,0,0.2229088588118166,2
financial accounting fundamentals,university of virginia,course,4.8,beginner,65k,65000.0,financial accounting fundamentals university of virginia course beginner,1,0,0.5150858698424714,3
financial acumen for non financial managers,university of pennsylvania,course,4.5,beginner,10k,10000.0,financial acumen for non financial managers university of pennsylvania course beginner,1,0,0.218786077982684,7
financial engineering and risk management part i,columbia university,course,4.6,mixed,100k,100000.0,financial engineering and risk management part i columbia university course mixed,3,0,0.5317758221164488,7
financial management,university of illinois at urbana champaign,specialization,4.7,intermediate,76k,76000.0,financial management university of illinois at urbana champaign specialization intermediate,2,2,0.515895477176131,1
financial markets,yale university,course,4.8,beginner,470k,470000.0,financial markets yale university course beginner,1,0,0.7675624923577602,3
financial markets and investment strategy,indian school of business,specialization,4.5,beginner,60k,60000.0,financial markets and investment strategy indian school of business specialization beginner,1,2,0.4474414817532426,6
financial reporting,university of illinois at urbana champaign,specialization,4.8,intermediate,12k,12000.0,financial reporting university of illinois at urbana champaign specialization intermediate,2,2,0.2994814263320182,1
financial technology fintech innovations,university of michigan,specialization,4.7,beginner,6.5k,6500.0,financial technology fintech innovations university of michigan specialization beginner,1,2,0.2021023095527154,3
financing and investing in infrastructure,universit bocconi,course,4.8,mixed,24k,24000.0,financing and investing in infrastructure universit bocconi course mixed,3,0,0.3879362079330386,7
finanzas corporativas,universidad nacional aut noma de m xico,specialization,4.6,intermediate,30k,30000.0,finanzas corporativas universidad nacional aut noma de m xico specialization intermediate,2,2,0.378126651787777,3
finanzas personales,universidad nacional aut noma de m xico,course,4.8,mixed,310k,310000.0,finanzas personales universidad nacional aut noma de m xico course mixed,3,0,0.7144518489776974,3
finding purpose and meaning in life living for what matters most,university of michigan,course,4.7,beginner,36k,36000.0,finding purpose and meaning in life living for what matters most university of michigan course beginner,1,0,0.420537134214225,3
fintech foundations applications of financial technology,university of pennsylvania,specialization,4.6,beginner,20k,20000.0,fintech foundations applications of financial technology university of pennsylvania specialization beginner,1,2,0.326382938102089,7
first step korean,yonsei university,course,4.9,beginner,400k,400000.0,first step korean yonsei university course beginner,1,0,0.7661244882217018,3
food beverage management,universit bocconi,course,4.8,mixed,57k,57000.0,food beverage management universit bocconi course mixed,3,0,0.4983249205933036,7
forensic accounting and fraud examination,west virginia university,course,4.7,mixed,42k,42000.0,forensic accounting and fraud examination west virginia university course mixed,3,0,0.440209483360559,7
formulaci n y evaluaci n de proyectos complejos,universidad de los andes,course,4.9,intermediate,4.4k,4400.0,formulaci n y evaluaci n de proyectos complejos universidad de los andes course intermediate,2,0,0.1906005709177232,2
foundational finance for strategic decision making,university of michigan,specialization,4.8,beginner,14k,14000.0,foundational finance for strategic decision making university of michigan specialization beginner,1,2,0.3191527627181956,3
foundations of business strategy,university of virginia,course,4.8,beginner,63k,63000.0,foundations of business strategy university of virginia course beginner,1,0,0.5110974530088863,6
foundations of everyday leadership,university of illinois at urbana champaign,course,4.8,mixed,62k,62000.0,foundations of everyday leadership university of illinois at urbana champaign course mixed,3,0,0.509055506984589,1
foundations of global health,johns hopkins university,specialization,4.7,beginner,31k,31000.0,foundations of global health johns hopkins university specialization beginner,1,2,0.4014543246489856,4
foundations of management,iese business school,specialization,4.8,beginner,64k,64000.0,foundations of management iese business school specialization beginner,1,2,0.5131072415694895,6
foundations of marketing analytics,emory university,specialization,4.2,intermediate,27k,27000.0,foundations of marketing analytics emory university specialization intermediate,2,2,0.2881083482558275,2
foundations of positive psychology,university of pennsylvania,specialization,4.8,beginner,89k,89000.0,foundations of positive psychology university of pennsylvania specialization beginner,1,2,0.5551901077525523,7
foundations of public health practice,imperial college london,specialization,4.8,beginner,3.2k,3200.0,foundations of public health practice imperial college london specialization beginner,1,2,0.1308269365079108,3
from data to insights with google cloud platform,google cloud,specialization,4.6,beginner,26k,26000.0,from data to insights with google cloud platform google cloud specialization beginner,1,2,0.3598646412108843,8
from the big bang to dark energy,the university of tokyo,course,4.8,beginner,52k,52000.0,from the big bang to dark energy the university of tokyo course beginner,1,0,0.4866085696009263,3
front end web development with react,the hong kong university of science and technology,course,4.7,intermediate,45k,45000.0,front end web development with react the hong kong university of science and technology course intermediate,2,0,0.4490142163095365,2
front end web ui frameworks and tools bootstrap 4,the hong kong university of science and technology,course,4.8,intermediate,89k,89000.0,front end web ui frameworks and tools bootstrap 4 the hong kong university of science and technology course intermediate,2,0,0.5551901077525523,2
full stack web and multiplatform mobile app development,the hong kong university of science and technology,specialization,4.7,intermediate,150k,150000.0,full stack web and multiplatform mobile app development the hong kong university of science and technology specialization intermediate,2,2,0.6026643792097222,2
full stack web development with react,the hong kong university of science and technology,specialization,4.7,intermediate,140k,140000.0,full stack web development with react the hong kong university of science and technology specialization intermediate,2,2,0.5938595044639361,2
functional programming principles in scala,cole polytechnique f d rale de lausanne,course,4.8,intermediate,170k,170000.0,functional programming principles in scala cole polytechnique f d rale de lausanne course intermediate,2,0,0.6377808596870183,2
functional programming in scala,cole polytechnique f d rale de lausanne,specialization,4.7,intermediate,220k,220000.0,functional programming in scala cole polytechnique f d rale de lausanne specialization intermediate,2,2,0.6515419419928006,2
fundamental neuroscience for neuroimaging,johns hopkins university,course,4.6,beginner,30k,30000.0,fundamental neuroscience for neuroimaging johns hopkins university course beginner,1,0,0.378126651787777,4
fundamentals of accounting,university of illinois at urbana champaign,specialization,4.6,beginner,39k,39000.0,fundamentals of accounting university of illinois at urbana champaign specialization beginner,1,2,0.4116088457101816,1
fundamentals of computing,rice university,specialization,4.8,beginner,200k,200000.0,fundamentals of computing rice university specialization beginner,1,2,0.6585215665847128,3
fundamentals of engineering exam review,georgia institute of technology,course,4.7,mixed,49k,49000.0,fundamentals of engineering exam review georgia institute of technology course mixed,3,0,0.4598819048509019,7
fundamentals of gis,university of california davis,course,4.8,beginner,86k,86000.0,fundamentals of gis university of california davis course beginner,1,0,0.5508141537830089,9
fundamentals of graphic design,california institute of the arts,course,4.8,beginner,290k,290000.0,fundamentals of graphic design california institute of the arts course beginner,1,0,0.7059406610746684,9
fundamentals of immunology,rice university,specialization,4.7,intermediate,20k,20000.0,fundamentals of immunology rice university specialization intermediate,2,2,0.3455260799821396,2
fundamentals of immunology innate immunity and b cell function,rice university,course,4.7,intermediate,18k,18000.0,fundamentals of immunology innate immunity and b cell function rice university course intermediate,2,0,0.3320805802846895,2
fundamentals of music theory,the university of edinburgh,course,4.6,beginner,180k,180000.0,fundamentals of music theory the university of edinburgh course beginner,1,0,0.606789145059476,3
fundamentals of project planning and management,university of virginia,course,4.7,beginner,120k,120000.0,fundamentals of project planning and management university of virginia course beginner,1,0,0.5741868008268618,3
fundamentals of quantitative modeling,university of pennsylvania,course,4.6,mixed,110k,110000.0,fundamentals of quantitative modeling university of pennsylvania course mixed,3,0,0.5439392813958963,7
fundamentals of reinforcement learning,university of alberta,course,4.8,intermediate,22k,22000.0,fundamentals of reinforcement learning university of alberta course intermediate,2,0,0.3768322170920486,2
fundamentals of visualization with tableau,university of california davis,course,4.5,beginner,81k,81000.0,fundamentals of visualization with tableau university of california davis course beginner,1,0,0.4857405622602542,9
fundamentos empresariales,university of pennsylvania,specialization,4.6,beginner,25k,25000.0,fundamentos empresariales university of pennsylvania specialization beginner,1,2,0.3548594530328985,7
fundamentos estrat gicos empresariales,universidad nacional aut noma de m xico,specialization,4.6,beginner,56k,56000.0,fundamentos estrat gicos empresariales universidad nacional aut noma de m xico specialization beginner,1,2,0.457779840043123,3
fundamentos de excel para negocios,universidad austral,course,4.7,beginner,150k,150000.0,fundamentos de excel para negocios universidad austral course beginner,1,0,0.6026643792097222,3
fundamentos de finanzas empresariales,universidad de los andes,course,4.8,beginner,110k,110000.0,fundamentos de finanzas empresariales universidad de los andes course beginner,1,0,0.5822255651559973,3
fundamentos de la escritura,tecnol gico de monterrey,course,4.6,beginner,47k,47000.0,fundamentos de la escritura tecnol gico de monterrey course beginner,1,0,0.4354205648672473,3
fundraising and development,university of california davis,specialization,4.6,beginner,4.9k,4900.0,fundraising and development university of california davis specialization beginner,1,2,0.1469041134148596,9
futures thinking,institute for the future,specialization,4.8,beginner,9.4k,9400.0,futures thinking institute for the future specialization beginner,1,2,0.268319720592161,3
g suite administration,google cloud,specialization,4.7,beginner,10k,10000.0,g suite administration google cloud specialization beginner,1,2,0.257072361742785,8
gis mapping and spatial analysis,university of toronto,specialization,4.8,beginner,140k,140000.0,gis mapping and spatial analysis university of toronto specialization beginner,1,2,0.6130026463439866,3
game design and development,michigan state university,specialization,4.7,intermediate,100k,100000.0,game design and development michigan state university specialization intermediate,2,2,0.5509189639964993,0
game theory,stanford university,course,4.6,beginner,260k,260000.0,game theory stanford university course beginner,1,0,0.6537183111633671,3
gamification,university of pennsylvania,course,4.8,mixed,110k,110000.0,gamification university of pennsylvania course mixed,3,0,0.5822255651559973,7
gender and sexuality diversity and inclusion in the workplace,university of pittsburgh,course,4.7,beginner,14k,14000.0,gender and sexuality diversity and inclusion in the workplace university of pittsburgh course beginner,1,0,0.3000096208381451,3
genomic data science,johns hopkins university,specialization,4.4,intermediate,80k,80000.0,genomic data science johns hopkins university specialization intermediate,2,2,0.4650120663222816,4
geographic information systems gis,university of california davis,specialization,4.8,beginner,97k,97000.0,geographic information systems gis university of california davis specialization beginner,1,2,0.566174912476987,9
geopolitics of europe,sciences po,course,4.3,mixed,19k,19000.0,geopolitics of europe sciences po course mixed,3,0,0.2624077495429247,7
geopol tica y gobernanza global riesgos y oportunidades,esade business and law school,course,4.8,mixed,34k,34000.0,geopol tica y gobernanza global riesgos y oportunidades esade business and law school course mixed,3,0,0.4323858737807584,6
gesti n de organizaciones efectivas,pontificia universidad cat lica de chile,course,4.7,mixed,47k,47000.0,gesti n de organizaciones efectivas pontificia universidad cat lica de chile course mixed,3,0,0.4545637067472978,3
get interactive practical teaching with technology,bloomsbury learning exchange,course,4.7,beginner,14k,14000.0,get interactive practical teaching with technology bloomsbury learning exchange course beginner,1,0,0.3000096208381451,3
getting started with music theory,michigan state university,course,4.5,beginner,59k,59000.0,getting started with music theory michigan state university course beginner,1,0,0.4452965774669164,0
getting started with aws machine learning,amazon web services,course,4.5,intermediate,73k,73000.0,getting started with aws machine learning amazon web services course intermediate,2,0,0.47246946932253,2
getting started with go,university of california irvine,course,4.6,intermediate,59k,59000.0,getting started with go university of california irvine course intermediate,2,0,0.4644397193469665,9
getting started with google kubernetes engine,google cloud,course,4.5,intermediate,75k,75000.0,getting started with google kubernetes engine google cloud course intermediate,2,0,0.4759188474393121,8
getting started with google sheets,google cloud,course,4.6,beginner,18k,18000.0,getting started with google sheets google cloud course beginner,1,0,0.312937438404639,8
getting started with sas programming,sas,course,4.9,beginner,22k,22000.0,getting started with sas programming sas course beginner,1,0,0.3959753589720987,3
global diplomacy diplomacy in the modern world,soas university of london,course,4.6,mixed,79k,79000.0,global diplomacy diplomacy in the modern world soas university of london course mixed,3,0,0.5016930541922218,7
global diplomacy the united nations in the world,soas university of london,course,4.7,beginner,29k,29000.0,global diplomacy the united nations in the world soas university of london course beginner,1,0,0.3929433922623864,3
global energy and climate policy,soas university of london,course,4.5,beginner,10k,10000.0,global energy and climate policy soas university of london course beginner,1,0,0.218786077982684,3
global environmental management,technical university of denmark dtu,course,4.6,intermediate,22k,22000.0,global environmental management technical university of denmark dtu course intermediate,2,0,0.3385459333319476,2
global financial markets and instruments,rice university,course,4.6,mixed,37k,37000.0,global financial markets and instruments rice university course mixed,3,0,0.4048905795269517,7
global financing solutions by edhec and soci t g n rale,edhec business school,course,4.6,intermediate,3.6k,3600.0,global financing solutions by edhec and soci t g n rale edhec business school course intermediate,2,0,0.1075678051899797,6
global trends for business and society,university of pennsylvania,course,4.8,mixed,7.6k,7600.0,global trends for business and society university of pennsylvania course mixed,3,0,0.2411956434621598,7
globalization economic growth and stability,ie business school,specialization,4.8,intermediate,44k,44000.0,globalization economic growth and stability ie business school specialization intermediate,2,2,0.4652894155229892,6
good with words writing and editing,university of michigan,specialization,4.6,beginner,3.8k,3800.0,good with words writing and editing university of michigan specialization beginner,1,2,0.114466049810094,3
google cloud platform big data and machine learning fundamentals,google cloud,course,4.6,intermediate,120k,120000.0,google cloud platform big data and machine learning fundamentals google cloud course intermediate,2,0,0.5550436589468113,8
google cloud platform fundamentals for aws professionals,google cloud,course,4.7,intermediate,36k,36000.0,google cloud platform fundamentals for aws professionals google cloud course intermediate,2,0,0.420537134214225,8
google it automation with python,google,professional certificate,4.7,beginner,93k,93000.0,google it automation with python google professional certificate beginner,1,1,0.5416575195924738,8
google it support,google,professional certificate,4.8,beginner,350k,350000.0,google it support google professional certificate beginner,1,1,0.7299399892907585,8
grammar and punctuation,university of california irvine,course,4.7,mixed,430k,430000.0,grammar and punctuation university of california irvine course mixed,3,0,0.7370678134387068,9
graphic design elements for non designers,university of colorado boulder,specialization,4.7,beginner,10k,10000.0,graphic design elements for non designers university of colorado boulder specialization beginner,1,2,0.257072361742785,3
greek and roman mythology,university of pennsylvania,course,4.8,mixed,260k,260000.0,greek and roman mythology university of pennsylvania course mixed,3,0,0.6920045949234681,7
greening the economy sustainable cities,lund university,course,4.6,beginner,56k,56000.0,greening the economy sustainable cities lund university course beginner,1,0,0.457779840043123,3
guitar for beginners,berklee college of music,course,4.8,mixed,210k,210000.0,guitar for beginners berklee college of music course mixed,3,0,0.6647481830992308,7
gut check exploring your microbiome,university of california san diego,course,4.7,mixed,62k,62000.0,gut check exploring your microbiome university of california san diego course mixed,3,0,0.4899123651045385,9
html css and javascript for web developers,johns hopkins university,course,4.8,mixed,240k,240000.0,html css and javascript for web developers johns hopkins university course mixed,3,0,0.6817895097644011,4
habilidades gerenciales,universidad nacional aut noma de m xico,specialization,4.7,beginner,43k,43000.0,habilidades gerenciales universidad nacional aut noma de m xico specialization beginner,1,2,0.4432123970334558,3
hacia una pr ctica constructivista en el aula,pontificia universidad cat lica de chile,course,4.8,mixed,62k,62000.0,hacia una pr ctica constructivista en el aula pontificia universidad cat lica de chile course mixed,3,0,0.509055506984589,3
hardware description languages for fpga design,university of colorado boulder,course,4.2,intermediate,7.4k,7400.0,hardware description languages for fpga design university of colorado boulder course intermediate,2,0,0.1229338190481479,2
healing with the arts,university of florida,course,4.6,mixed,39k,39000.0,healing with the arts university of florida course mixed,3,0,0.4116088457101816,7
health informatics,johns hopkins university,specialization,4.5,beginner,8.1k,8100.0,health informatics johns hopkins university specialization beginner,1,2,0.1918966538954225,4
health information literacy for data analytics,university of california davis,specialization,4.5,intermediate,5.4k,5400.0,health information literacy for data analytics university of california davis specialization intermediate,2,2,0.140158689903231,9
healthcare law,university of pennsylvania,specialization,4.7,intermediate,1.7k,1700.0,healthcare law university of pennsylvania specialization intermediate,2,2,0.0309958411569408,7
healthcare marketplace,university of minnesota,specialization,4.4,beginner,36k,36000.0,healthcare marketplace university of minnesota specialization beginner,1,2,0.3631077085740739,3
